UAB,LTAG,Incirlik Air Base[1],"Adana, Turkey"
UVF,TLPL,Hewanorra International Airport,"Vieux Fort, Saint Lucia"
UVI,SSUV,União da Vitória Airport[1],"União da Vitória, Paraná, Brazil"
UVL,HEKG,El Kharga Airport[1],"Kharga Oasis, Egypt"
UVO,,Uvol Airport[1],"Uvol, Papua New Guinea"
UYL,HSNN,Nyala Airport,"Nyala, Sudan"
UYN,ZLYL,Yulin Yuyang Airport,"Yulin, Shaanxi, China"
UYU,SLUY,Uyuni Airport (Joya Andina Airport),"Uyuni, Bolivia"
UZC,LYUZ,Užice-Ponikve Airport,"Užice, Serbia"
UZM,,Hope Bay Aerodrome[1] (TC: CHB3),"Hope Bay, Nunavut, Canada"
UZR,,Urzhar Airport,"Urzhar (Urdzhar), Kazakhstan"
UZU,SATU,Curuzú Cuatiá Airport,"Curuzú Cuatiá, Corrientes, Argentina"
