RDS,SAHS,Rincón de los Sauces Airport[1],"Rincón de los Sauces, Neuquén, Argentina",,
RDT,GOSR,Richard Toll Airport,"Richard Toll, Senegal",,
RDU,KRDU,Raleigh–Durham International Airport,"Raleigh / Durham, North Carolina, United States",,
RDV,,Red Devil Airport,"Red Devil, Alaska, United States",,
RDZ,LFCR,Rodez–Marcillac Airport,"Rodez, Midi-Pyrénées, France",,
REA,NTGE,Reao Airport[1],"Reao, Tuamotus, French Polynesia",,
REB,EDAX,Rechlin–Lärz Airfield[1],"Rechlin, Mecklenburg-Vorpommern, Germany",,
REC,SBRF,Recife/Guararapes–Gilberto Freyre International Airport,"Recife, Pernambuco, Brazil",,
RED,KRVL,Mifflin County Airport (FAA: RVL),"Reedsville / Lewistown, Pennsylvania, United States",,
REE,,Reese Airpark[1] (FAA: 8XS8),"Lubbock, Texas, United States",,
REG,LICR,Reggio di Calabria Airport,"Reggio di Calabria, Calabria, Italy",,
REI,SOOR,Régina Airport[1],"Régina, French Guiana",,
REK[1],,metropolitan area1,"Reykjavík, Iceland",,
REL,SAVT,Almirante Marcos A. Zar Airport,"Trelew, Chubut, Argentina",,
REN,UWOO,Orenburg Tsentralny Airport,"Orenburg, Orenburg Oblast, Russia",,
REO,KREO,Rome State Airport,"Rome, Oregon, United States",,
REP,VDSR,Siem Reap International Airport (Angkor Int'l),"Siem Reap, Cambodia",,
REQ,,Reko Diq Airport[1],"Reko Diq, Pakistan",,
RER,MGRT,Retalhuleu Airport,"Retalhuleu, Guatemala",,
RES,SARE,Resistencia International Airport,"Resistencia, Chaco, Argentina",,
RET,ENRS,Røst Airport,"Røst, Norway",,
REU,LERS,Reus Airport,"Reus, Catalonia, Spain",,
REW,,Churhata Airport[1],"Rewa, Madhya Pradesh, India",,
REX,MMRX,General Lucio Blanco International Airport,"Reynosa, Tamaulipas, Mexico",,
REY,SLRY,Reyes Airport[1],"Reyes, Bolivia",,
REZ,SDRS,Resende Airport[1],"Resende, Rio de Janeiro, Brazil",,
RFA,FEGR,Rafaï Airport[1],"Rafaï, Central African Republic",,
RFD,KRFD,Chicago Rockford International Airport (Greater Rockford Airport),"Rockford, Illinois, United States",,
RFG,KRFG,Rooke Field,"Refugio, Texas, United States",,
RFK,,Rollang Field[1] (FAA: 5MS1),"Rolling Fork, Mississippi, United States",,
RFN,BIRG,Raufarhöfn Airport[1],"Raufarhöfn, Iceland",,
RFP,NTTR,Raiatea Airport[1] (Uturoa Airport),"Raiatea, Society Islands, French Polynesia",,
RFR,MRRF,Río Frío Airport[1],"Río Frío, Costa Rica",,
RFS,MNRT,Rosita Airport[1],"Rosita, Nicaragua",,
RGA,SAWE,Hermes Quijada International Airport,"Río Grande, Tierra del Fuego, Argentina",,
RGE,,Porgera Airport[1],"Porgera, Papua New Guinea",,
RGH,VEBG,Balurghat Airport[1],"Balurghat, West Bengal, India",,
RGI,NTTG,Rangiroa Airport[1],"Rangiroa, Tuamotus, French Polynesia",,
RGK,UNBG,Gorno-Altaysk Airport[1],"Gorno-Altaysk, Altai Republic, Russia",,
RGL,SAWG,Piloto Civil Norberto Fernández International Airport,"Río Gallegos, Santa Cruz, Argentina",,
RGN,VYYY,Yangon International Airport,"Yangon, Myanmar",,
RGO,ZKHM,Chongjin Airport,"Chongjin, North Korea",,
RGR,,Ranger Municipal Airport[1] (FAA: F23),"Ranger, Texas, United States",,
RGS,LEBG,Burgos Airport,"Burgos, Castile and León, Spain",,
RGT,WIPR,Japura Airport[1],"Rengat, Indonesia",,
RHA,BIRE,Reykhólar Airport[1],"Reykhólar, Iceland",,
RHD,SANR[2],Termas de Río Hondo Airport[1],"Termas de Río Hondo, Santiago del Estero, Argentina",,
RHE,LFSR,Reims – Champagne Air Base,"Reims, Champagne-Ardenne, France",,
RHG,HRYU,Ruhengeri Airport[1],"Ruhengeri, Rwanda",,
RHI,KRHI,Rhinelander–Oneida County Airport,"Rhinelander, Wisconsin, United States",,
RHL,YRYH,Roy Hill Station Airport[1],"Roy Hill Station, Western Australia, Australia",,
RHN,FYSA,Skorpion Mine Airport[1],"Rosh Pinah, Namibia",,
RHO,LGRP,Rhodes International Airport,"Rhodes, Greece",,
RHP,VNRC,Ramechhap Airport,"Ramechhap, Nepal",,
RHR,,Al Hamra Seaplane Base[1],"Ras al-Khaimah, United Arab Emirates",,
RHT,,Alxa Right Banner Badanjilin Airport,"Alxa Right Banner, Inner Mongolia, China",,
RHV,KRHV,Reid–Hillview Airport of Santa Clara County,"San Jose, California, United States",,
RIA,SBSM,Santa Maria Airport,"Santa Maria, Rio Grande do Sul, Brazil",,
RIB,SLRI,Riberalta Airport,"Riberalta, Bolivia",,
RIC,KRIC,Richmond International Airport,"Richmond, Virginia, United States",,
RID,KRID,Richmond Municipal Airport,"Richmond, Indiana, United States",,
RIE,KRPD,Rice Lake Regional Airport (Carl's Field) (FAA: RPD),"Rice Lake, Wisconsin, United States",,
RIF,KRIF,Richfield Municipal Airport,"Richfield, Utah, United States",,
RIG,SBRG,Rio Grande Regional Airport,"Rio Grande, Rio Grande do Sul, Brazil",,
RIH,MPSM,Scarlett Martinez International Airport,"Río Hato, Panama",,
RIJ,SPJA,Juan Simons Vela Airport[1],"Rioja, Peru",,
RIL,KRIL,Garfield County Regional Airport,"Rifle, Colorado, United States",,
RIM,SPLN,San Nicolas Airport[1],"Rodríguez de Mendoza, Peru",,
