TGV,LBTG,Targovishte Airport[1] (Buhovtsi Airfield),"Targovishte, Bulgaria"
TGZ,MMTG,Ángel Albino Corzo International Airport,"Tuxtla Gutiérrez, Chiapas, Mexico"
THA,KTHA,Tullahoma Regional Airport (William Northern Field),"Tullahoma, Tennessee, United States"
THB,FXTA,Thaba Tseka Airport[1],"Thaba-Tseka, Lesotho"
THC,GLTN,Tchien Airport,"Tchien, Liberia"
THD,VVTX,Tho Xuan Airport,"Thanh Hóa, Vietnam"
THE,SBTE,Teresina–Senador Petrônio Portella Airport,"Teresina, Piauí, Brazil"
THG,YTNG,Thangool Airport[1],"Thangool, Queensland, Australia"
THH,,Taharoa Aerodrome[1],"Taharoa, New Zealand"
THI,GQNC,Tichitt Airport,"Tichit, Mauritania"
THK,VLTK,Thakhek Airport[1],"Thakhek, Laos"
THL,VYTL,Tachilek Airport,"Tachileik (Tachilek), Myanmar"
THM,KTHM,Thompson Falls Airport[1],"Thompson Falls, Montana, United States"
THN,ESGT,Trollhättan–Vänersborg Airport,"Trollhättan / Vänersborg, Sweden"
THO,BITN,Thorshofn Airport,"Thorshofn (Þórshöfn), Iceland"
THP,KTHP,Hot Springs County–Thermopolis Municipal Airport,"Thermopolis, Wyoming, United States"
THQ,ZLTS,Tianshui Maijishan Airport[1],"Tianshui, Gansu, China"
THR,OIII,Mehrabad International Airport,"Tehran, Iran"
THS,VTPO,Sukhothai Airport,"Sukhothai, Thailand"
THT,GQNT,Tamchakett Airport,"Tamchakett, Mauritania"
THU,BGTL,Pituffik Space Base,"Pituffik, Greenland"
THV,KTHV,York Airport,"York, Pennsylvania, United States"
THW,,Trincomalee Harbour Seaplane Base[1],"Trincomalee, Sri Lanka"
THX,UOTT,Turukhansk Airport,"Turukhansk, Krasnoyarsk Krai, Russia"
THY,FATH,P.R. Mphephu Airport[1],"Thohoyandou, South Africa"
THZ,DRRT,Tahoua Airport,"Tahoua, Niger"
TIA,LATI,Tirana International Airport Nënë Tereza,"Tirana, Albania"
TIB,SKTB,Tibú Airport[1],"Tibú, Colombia"
TIC,,Tinak Airport (FAA: N18),"Tinak Island, Arno Atoll, Marshall Islands"
TID,DAOB,Abdelhafid Boussouf Bou Chekif Airport[1],"Tiaret, Algeria"
TIE,HATP,Tippi Airport[1],"Tepi (Tippi), Ethiopia"
TIF,OETF,Ta'if Regional Airport,"Ta'if, Saudi Arabia"
TIG,,Tingwon Airport[1],"Tingwon, Papua New Guinea"
TIH,NTGC,Tikehau Airport[1],"Tikehau, Tuamotus, French Polynesia"
TII,OATN,Tarinkot Airport,"Tarinkot (Tarin Kowt), Afghanistan"
TIJ,MMTJ,Tijuana International Airport,"Tijuana, Baja California, Mexico"
TIK,KTIK,Tinker Air Force Base,"Oklahoma City, Oklahoma, United States"
TIL,,Cheadle Airport[1] (TC: CFQ4),"Cheadle, Alberta, Canada"
TIM,WABP,Mozes Kilangin Airport,"Tembagapura / Timika, Indonesia"
TIN,DAOF,Tindouf Airport[1],"Tindouf, Algeria"
TIO,VYHN,Tilin Airport[1],"Htilin (Tilin), Myanmar"
TIP,HLLT,Tripoli International Airport,"Tripoli, Libya"
TIQ,PGWT,Tinian International Airport (West Tinian Airport) (FAA: TNI),"Tinian, Northern Mariana Islands"
TIR,VOTP,Tirupati Airport,"Tirupati, Andhra Pradesh, India"
TIS,,Thursday Island Airport,"Thursday Island, Australia"
TIU,NZTU,Richard Pearse Airport,"Timaru, New Zealand"
TIV,LYTV,Tivat Airport,"Tivat, Montenegro"
TIW,KTIW,Tacoma Narrows Airport,"Tacoma, Washington, United States"
TIX,KTIX,Space Coast Regional Airport,"Titusville, Florida, United States"
TIY,GQND,Tidjikja Airport,"Tidjikja, Mauritania"
TIZ,AYTA,Tari Airport[1],"Tari, Papua New Guinea"
TJA,SLTJ,Capitán Oriel Lea Plaza Airport,"Tarija, Bolivia"
TJB,WIBT,Sei Bati Airport[1],"Tanjung Balai, Indonesia"
TJC,,Ticantiquí Airport[1],"Ticantiquí, Panama"
TJG,WAON,Warukin Airport[1],"Tanjung, Indonesia"
TJH,RJBT,Tajima Airport[1],"Toyooka, Honshu, Japan"
TJI,MHTJ,Trujillo Airport[1] (Capiro Airport),"Trujillo, Honduras"
TJK,LTAW,Tokat Airport,"Tokat, Turkey"
TJL,SBTG,Plínio Alarcom Airport,"Três Lagoas, Mato Grosso do Sul, Brazil"
TJM,USTR,Roshchino International Airport,"Tyumen, Tyumen Oblast, Russia"
TJN,NTKM,Takume Airport[1],"Takume, Tuamotus, French Polynesia"
TJQ,WIKD,H.A.S. Hanandjoeddin Airport (Buluh Tumbang Airport),"Tanjung Pandan, Indonesia"
TJS,WAGD,Tanjung Harapan Airport[1],"Tanjung Selor, Indonesia"
TJU,UTDK,Kulob Airport[1],"Kulob, Tajikistan"
TJV,VOTJ,Thanjavur Air Force Station[1],"Thanjavur, Tamil Nadu, India"
TKA,PATK,Talkeetna Airport,"Talkeetna, Alaska, United States"
TKB,,Tekadu Airport[1],"Tekadu, Papua New Guinea"
TKC,FKKC,Tiko Airport[1],"Tiko, Cameroon"
TKD,DGTK,Takoradi Airport,"Sekondi-Takoradi, Ghana"
TKE,,Tenakee Seaplane Base[1],"Tenakee Springs, Alaska, United States"
TKF,KTRK,Truckee Tahoe Airport (FAA: TRK),"Truckee, California, United States"
TKG,WILL,Radin Inten II Airport,"Bandar Lampung, Indonesia"
TKH,VTPI,Takhli Royal Thai Air Force Base[1],"Takhli, Thailand"
TKI,,Tokeen Seaplane Base (FAA: 57A),"Tokeen, Alaska, United States"
TKJ,PFTO,Tok Junction Airport[1] (FAA: 6K8),"Tok, Alaska, United States"
TKK,PTKK,Chuuk International Airport,"Chuuk, Federated States of Micronesia"
TKL,,Taku Lodge Seaplane Base[1],"Taku Lodge, Alaska, United States"
TKN,RJKN,Tokunoshima Airport[1],"Tokunoshima, Amami Islands, Japan"
TKO,FXTK,Tlokoeng Airport[1],"Tlokoeng, Lesotho"
TKP,NTGT,Takapoto Airport[1],"Takapoto, Tuamotus, French Polynesia"
TKQ,HTKA,Kigoma Airport,"Kigoma, Tanzania"
TKR,VGSG,Thakurgaon Airport[1],"Thakurgaon, Bangladesh"
TKS,RJOS,Tokushima Airport[1],"Tokushima, Shikoku, Japan"
TKT,VTPT,Tak Airport,"Tak, Thailand"
TKU,EFTU,Turku Airport,"Turku, Finland"
TKV,NTGO,Tatakoto Airport[1],"Tatakoto, Tuamotus, French Polynesia"
TKW,AYTN,Tekin Airport[1],"Tekin, Papua New Guinea"
TKX,NTKR,Takaroa Airport[1],"Takaroa, Tuamotus, French Polynesia"
TKY,YTKY,Turkey Creek Airport[1],"Warmun (Turkey Creek), Western Australia, Australia"
TKZ,NZTO,Tokoroa Aerodrome[1],"Tokoroa, New Zealand"
TLA,PATE,Teller Airport (FAA: TER),"Teller, Alaska, United States"
TLB,OPTA,Tarbela Dam Airport[1],"Tarbela Dam, Pakistan"
TLC,MMTO,Licenciado Adolfo López Mateos International Airport,"Toluca, State of Mexico, Mexico"
TLD,FBTL,Tuli Lodge Airport[1],"Tuli Lodge, Botswana"
TLE,FMST,Toliara Airport[1],"Toliara, Madagascar"
TLF,,Telida Airport (FAA: 2K5),"Telida, Alaska, United States"
TLG,AGTI,Tulaghi Heliport[1],"Tulagi, Solomon Islands"
TLH,KTLH,Tallahassee International Airport,"Tallahassee, Florida, United States"
TLI,WAMI,Sultan Bantilan Airport[1] (Lalos Airport),"Tolitoli, Indonesia"
TLJ,PATL,Tatalina LRRS Airport,"Tatalina, Alaska, United States"
TLK,UECT,Talakan Airport,"Talakan, Yakutia, Russia"
TLL,EETN,Tallinn Airport (Lennart Meri Tallinn Airport),"Tallinn, Estonia"
TLM,DAON,Zenata – Messali El Hadj Airport[1],"Tlemcen, Algeria"
TLN,LFTH,Toulon–Hyères Airport (Hyères Le Palyvestre Airport),"Toulon / Hyères, Provence-Alpes-Côte d'Azur, France"
TLO,,Tol Airport[1],"Tol, Papua New Guinea"
TLP,,Tumolbil Airport[1],"Tumolbil, Papua New Guinea"
TLQ,ZWTP,Turpan Jiaohe Airport,"Turpan, Xinjiang, China"
TLR,KTLR,Mefford Field Airport,"Tulare, California, United States"
TLS,LFBO,Toulouse–Blagnac Airport,"Toulouse, Midi-Pyrénées, France"
TLT,,Tuluksak Airport,"Tuluksak, Alaska, United States"
TLU,SKTL,Golfo de Morrosquillo Airport[1],"Tolú, Colombia"
TLV,LLBG,Ben Gurion Airport,"Tel Aviv, Israel"
TLW,AYVL,Talasea Airport[1],"Talasea, Papua New Guinea"
TLX,SCTL,Panguilemo Airport[1],"Talca, Chile"
TLY,UHWP,Plastun Airport[1],"Plastun, Primorsky Krai, Russia"
TLZ,SWKT,Catalão Airport[1],"Catalão, Goiás, Brazil"
TMA,KTMA,Henry Tift Myers Airport,"Tifton, Georgia, United States"
TMB,KTMB,Miami Executive Airport,"Miami, Florida, United States"
TMC,WADT,Tambolaka Airport[1] (Waikabubak Airport),"Tambolaka, Indonesia"
TMD,GQNH,Timbedra Airport,"Timbédra, Mauritania"
TME,SKTM,Gabriel Vargas Santos Airport,"Tame, Colombia"
TMF,VRNT,Thimarafushi Airport,"Thimarafushi, Thaa Atoll, Maldives"
TMG,WBKM,Tommanggong Airport[1],"Tommanggong, Sabah, Malaysia"
TMH,WAKT,Tanah Merah Airport[1],"Tanahmerah, Indonesia"
TMI,VNTR,Tumlingtar Airport[1],"Tumlingtar, Nepal"
TMJ,UTST,Termez Airport,"Termez, Uzbekistan"
TMK,,Tam Kỳ Airport[1],"Tam Kỳ, Vietnam"
TML,DGLE,Tamale Airport,"Tamale, Ghana"
TMM,FMMT,Toamasina Airport,"Toamasina, Madagascar"
TMN,NGTM,Tamana Airport[1],"Tamana, Kiribati"
TMO,SVTM,Tumeremo Airport[1],"Tumeremo, Venezuela"
TMP,EFTP,Tampere–Pirkkala Airport,"Tampere, Finland"
TMQ,DFEM,Tambao Airport,"Tambao, Burkina Faso"
TMR,DAAT,Aguenar – Hadj Bey Akhamok Airport,"Tamanrasset, Algeria"
TMS,FPST,São Tomé International Airport,"São Tomé, São Tomé and Príncipe"
TMT,SBTB,Porto Trombetas Airport,"Porto Trombetas / Oriximiná, Pará, Brazil"
TMU,MRTR,Tambor Airport,"Tambor, Costa Rica"
TMW,YSTW,Tamworth Airport,"Tamworth, New South Wales, Australia"
TMX,DAUT,Timimoun Airport[1],"Timimoun, Algeria"
TMY,,Tiom Airport[1],"Tiom, Indonesia"
TMZ,NZTH,Thames Aerodrome,"Thames, New Zealand"
TNA,ZSJN,Jinan Yaoqiang International Airport,"Jinan, Shandong, China"
TNB,WRLH,Tanah Grogot Airport[1],"Tanah Grogot, Indonesia"
TNC,PATC,Tin City LRRS Airport,"Tin City, Alaska, United States"
TND,MUTD,Alberto Delgado Airport[1],"Trinidad, Cuba"
TNE,RJFG,New Tanegashima Airport[1],"Tanegashima, Ōsumi Islands, Japan"
TNF,LFPN,Toussus-le-Noble Airport,"Toussus-le-Noble, Île-de-France, France"
TNG,GMTT,Tangier Ibn Battouta Airport,"Tangier, Morocco"
TNH,ZYTN,Tonghua Sanyuanpu Airport,"Tonghua, Jilin, China"
TNI,VIST,Satna Airport,"Satna, Madhya Pradesh, India"
TNJ,WIDN,Raja Haji Fisabilillah Airport,"Tanjung Pinang, Indonesia"
TNK,,Tununak Airport (FAA: 4KA),"Tununak, Alaska, United States"
TNL,UKLT,Ternopil International Airport,"Ternopil, Ukraine"
TNM,SCRM,Teniente R. Marsh Airport,"King George Island, Antarctica"
TNN,RCNN,Tainan Airport,"Tainan, Taiwan"
TNO,MRTM,Tamarindo Airport,"Tamarindo, Costa Rica"
TNP,KTNP,Twentynine Palms Airport,"Twentynine Palms, California, United States"
TNQ,,Teraina Airport,"Teraina, Kiribati"
TNR,FMMI,Ivato International Airport,"Antananarivo, Madagascar"
TNS,,Tungsten (Cantung) Airport[1] (TC: CBX5),"Tungsten, Northwest Territories, Canada"
TNT,KTNT,Dade-Collier Training and Transition Airport,"Miami, Florida, United States"
TNU,KTNU,Newton Municipal Airport,"Newton, Iowa, United States"
TNV,,Tabuaeran Island Airport[1],"Tabuaeran, Kiribati"
TNW,SEJD,Jumandy Airport[1],"Tena, Ecuador"
TNX,VDST,Steung Treng Airport[1],"Stung Treng, Cambodia"
