TTO,KBTN,Britton Municipal Airport (FAA: BTN),"Britton, South Dakota, United States"
TTQ,MRBT,Tortuguero Airport (Barra de Tortuguero Airport),"Tortuguero, Costa Rica"
TTR,WAWT,Pongtiku Airport[1],"Tana Toraja, Indonesia"
TTS,FMNT,Tsaratanana Airport,"Tsaratanana, Madagascar"
TTT,RCFN,Taitung Airport (Taitung Fongnian Airport),"Taitung, Taiwan"
TTU,,Sania Ramel Airport,"Tétouan, Morocco"
TTW,,Tissa Tank Waterdrome[1],"Tissamaharama, Sri Lanka"
TTX,YTST,Truscott-Mungalalu Airport[1],"Mungalalu, Western Australia, Australia"
TUA,SETU,Teniente Coronel Luis a Mantilla International Airport,"Tulcán, Ecuador"
TUB,NTAT,Tubuai – Mataura Airport[1],"Tubuai, French Polynesia"
TUC,SANT,Teniente General Benjamín Matienzo International Airport,"San Miguel de Tucumán, Tucumán, Argentina"
TUD,GOTT,Tambacounda Airport,"Tambacounda, Senegal"
TUF,LFOT,Tours Val de Loire Airport,"Tours, Centre-Val de Loire, France"
TUG,RPUT,Tuguegarao Airport,"Tuguegarao, Philippines"
TUI,OETR,Turaif Domestic Airport[1],"Turaif, Saudi Arabia"
TUJ,HAMJ,Tum Airport[1],"Tum, Ethiopia"
TUK,OPTU,Turbat International Airport,"Turbat, Pakistan"
TUL,KTUL,Tulsa International Airport,"Tulsa, Oklahoma, United States"
TUM,YTMU,Tumut Airport[1],"Tumut, New South Wales, Australia"
TUN,DTTA,Tunis–Carthage International Airport,"Tunis, Tunisia"
TUO,NZAP,Taupo Airport,"Taupō, New Zealand"
TUP,KTUP,Tupelo Regional Airport,"Tupelo, Mississippi, United States"
TUQ,DFOT,Tougan Airport,"Tougan, Burkina Faso"
TUR,SBTU,Tucuruí Airport[1],"Tucuruí, Pará, Brazil"
TUS,KTUS,Tucson International Airport,"Tucson, Arizona, United States"
TUT,,Tauta Airport[1],"Tauta, Papua New Guinea"
TUU,OETB,Tabuk Regional Airport,"Tabuk, Saudi Arabia"
TUV,SVTC,San Rafael Airport[1],"Tucupita, Venezuela"
TUW,,Tubala Airport[1],"Tubala (Tubualá), Panama"
TUX,,Tumbler Ridge Airport[1] (TC: CBX7),"Tumbler Ridge, British Columbia, Canada"
TUY,,Tulum Airport,"Tulum, Quintana Roo, Mexico"
TUZ,,Tucumã Airport[1],"Tucumã, Pará, Brazil"
TVA,FMMR,Morafenobe Airport[1],"Morafenobe, Madagascar"
TVC,KTVC,Cherry Capital Airport,"Traverse City, Michigan, United States"
TVF,KTVF,Thief River Falls Regional Airport,"Thief River Falls, Minnesota, United States"
TVI,KTVI,Thomasville Regional Airport,"Thomasville, Georgia, United States"
TVL,KTVL,Lake Tahoe Airport,"South Lake Tahoe, California, United States"
TVS,ZBTS,Tangshan Sannühe Airport,"Tangshan, Hebei, China"
TVU,NFNM,Matei Airport,"Taveuni, Fiji"
TVY,VYDW,Dawei Airport,"Dawei, Myanmar"
TWA,,Twin Hills Airport (FAA: A63),"Twin Hills, Alaska, United States"
TWB,YTWB,Toowoomba City Aerodrome[1],"Toowoomba, Queensland, Australia"
TWC,,Tumxuk Tangwangcheng Airport[1],"Tumxuk, Xinjiang, China"
TWD,,Jefferson County International Airport (FAA: 0S9),"Port Townsend, Washington, United States"
TWE,,Taylor Airport (FAA: AK49),"Taylor, Alaska, United States"
TWF,KTWF,Magic Valley Regional Airport (Joslin Field),"Twin Falls, Idaho, United States"
TWN,,Tewantin Airport[1],"Tewantin, Queensland, Australia"
TWP,,Torwood Airport[1],"Torwood, Queensland, Australia"
TWT,RPMN,Sanga-Sanga Airport,"Tawitawi Island (Tawi-Tawi), Philippines"
TWU,WBKW,Tawau Airport,"Tawau, Sabah, Malaysia"
TWY,,Tawa Airport[1],"Tawa, Papua New Guinea"
TWZ,NZUK,Pukaki Airport[1] (Twizel Airport),"Twizel, New Zealand"
TXE,WITK,Rembele Airport[1],"Takengon, Sumatra, Indonesia"
TXF,SNTF,Teixeira de Freitas Airport[1] (9 de maio Airport),"Teixeira de Freitas, Bahia, Brazil"
TXK,KTXK,Texarkana Regional Airport (Webb Field),"Texarkana, Arkansas, United States"
TXM,WAST,Teminabuan Airport[1],"Teminabuan, Indonesia"
TXN,ZSTX,Huangshan Tunxi International Airport[1],"Huangshan, Anhui, China"
TXR,,Tanbar Airport[1],"Tanbar, Queensland, Australia"
TXU,DITB,Tabou Airport[1],"Tabou, Ivory Coast"
TYA,UUBT,Klokovo Airport[1],"Tula, Tula Oblast, Russia"
TYB,YTIB,Tibooburra Airport[1],"Tibooburra, New South Wales, Australia"
TYD,UHBW,Tynda Airport,"Tynda, Amur Oblast, Russia"
TYE,,Tyonek Airport,"Tyonek, Alaska, United States"
TYF,ESST,Torsby Airport[1],"Torsby, Sweden"
TYG,,Thylungra Airport[1],"Thylungra, Queensland, Australia"
TYL,SPYL,Capitán FAP Víctor Montes Arias International Airport,"Talara, Peru"
TYM,MYES,Staniel Cay Airport[1],"Staniel Cay, Exuma Islands, Bahamas"
TYN,ZBYN,Taiyuan Wusu International Airport,"Taiyuan, Shanxi, China"
TYO[1],,metropolitan area2,"Tokyo, Honshu, Japan"
TYP,YTMY,Tobermorey Airport[1],"Tobermorey, Northern Territory, Australia"
TYR,KTYR,Tyler Pounds Regional Airport,"Tyler, Texas, United States"
TYS,KTYS,McGhee Tyson Airport,"Knoxville, Tennessee, United States"
TYT,SUTR,Treinta y Tres Airport,"Treinta y Tres, Uruguay"
TYZ,KTYL,Taylor Airport (FAA: TYL),"Taylor, Arizona, United States"
TZA,,Belize City Municipal Airport,"Belize City, Belize"
TZC,KCFS,Tuscola Area Airport[1] (FAA: CFS),"Caro, Michigan, United States"
TZL,LQTZ,Tuzla International Airport,"Tuzla, Bosnia and Herzegovina"
TZM,,Cupul National Airport,"Tizimín, Yucatán, Mexico"
TZN,MYAK,South Andros Airport (Congo Town Airport),"South Andros, Andros Island, Bahamas"
TZO,,Tsimiroro Airport[1],"Ankisatra, Madagascar"
TZX,LTCG,Trabzon Airport,"Trabzon, Turkey"
